"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"16-117D","FMR1-KO","trained_conflict","2016","Retention",12,30,57.736,40.57,40.57,"not equal","equal"
"15140D","WT","yoked_trained","2015","T2",12,32,55.268,33.7,33.7,"not equal","equal"
"16-119B","FMR1-KO","yoked_trained","2016","Retest",12,32,61.933,20.37,20.37,"not equal","equal"
"15140B","WT","yoked_conflict","2015","Retention",12,33,59.036,65.8,65.8,"not equal","equal"
"16-120D","FMR1-KO","yoked_conflict","2016","Retest",12,35,64.532,36.9,36.9,"not equal","equal"
"15143B","WT","yoked_conflict","2015","T4_C1",12,35,66.133,44.8,44.8,"not equal","equal"
"16-123D","WT","yoked_conflict","2016","Retention",12,36,75.467,16.63,16.63,"not equal","equal"
"16-120D","FMR1-KO","yoked_conflict","2016","T2",12,37,69.366,12.07,12.07,"not equal","equal"
"16-125A","WT","trained_trained","2016","T1",12,37,74.77,103.43,103.43,"not equal","equal"
"16-118D","FMR1-KO","yoked_conflict","2016","T2",12,38,73.298,40.87,40.87,"not equal","equal"
"15142B","WT","yoked_conflict","2015","Retention",12,38,77.468,157.7,157.7,"not equal","equal"
"15142D","WT","yoked_trained","2015","T1",12,38,97.802,58.43,58.43,"not equal","equal"
"16-126A","WT","trained_trained","2016","Retention",12,39,73.571,3.33,3.33,"not equal","equal"
"15146D","WT","yoked_trained","2015","T5_C2",12,43,85.434,12.07,12.07,"not equal","equal"
"15142D","WT","yoked_trained","2015","T4_C1",12,47,90.399,54.77,54.77,"not equal","equal"
"15146B","WT","yoked_conflict","2015","T3",12,47,96.832,29.87,29.87,"not equal","equal"
"15146D","WT","yoked_trained","2015","T3",12,47,99.1,33.03,33.03,"not equal","equal"
"16-117B","FMR1-KO","yoked_trained","2016","T6_C3",12,49,93.1,0.53,0.53,"not equal","equal"
"15146D","WT","yoked_trained","2015","Retention",12,49,106.564,37.03,37.03,"not equal","equal"
"15147D","WT","yoked_trained","2015","T3",12,49,109.592,15.3,15.3,"not equal","equal"
"15147D","WT","yoked_trained","2015","T4_C1",12,50,93.932,31.8,31.8,"not equal","equal"
"15144D","WT","yoked_trained","2015","T3",12,50,103.066,34.37,34.37,"not equal","equal"
