"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"WT","2015","train-conflict","T2","15141B","yoked",63,35,122.533,6.2,6.2,"15141A","trained",12,10,13.567,38.83,38.83
"WT","2015","train-conflict","Hab","15144B","yoked",63,33,110.933,11.63,11.63,"15144A","trained",64,33,122.296,20.23,20.23
"WT","2015","train-conflict","T5_C2","15146B","yoked",63,11,121.667,0.57,0.57,"15146A","trained",1,1,0.634,542.4,542.4
"WT","2015","train-conflict","T3","15148D","yoked",63,18,120.003,18.37,18.37,"15148C","trained",15,12,18.833,18.5,18.5
"WT","2016","train-conflict","T3","16-124D","yoked",63,20,119.471,19.8,19.8,"16-124C","trained",3,3,2.366,19.27,19.27
"FMR1-KO","2016","train-conflict","T4_C1","16-120D","yoked",63,23,113.865,2.97,2.97,"16-120C","trained",40,27,56.03,1,1
"WT","2015","train-train","T4_C1","15144D","yoked",64,17,125.6,26.83,26.83,"15144C","trained",3,2,4.601,249.4,249.4
"WT","2015","train-conflict","T5_C2","15145B","yoked",64,16,128.033,13.43,13.43,"15145A","trained",4,4,3.534,102.37,102.37
"WT","2015","train-conflict","T1","15146B","yoked",64,19,124.134,34.33,34.33,"15146A","trained",25,15,35.934,9.17,9.17
"WT","2015","train-conflict","T2","15148D","yoked",64,17,123.634,74.77,74.77,"15148C","trained",3,3,1.968,46.07,46.07
"WT","2015","train-conflict","T6_C3","15145B","yoked",65,14,123.635,30.47,30.47,"15145A","trained",4,4,5.834,183.37,183.37
"WT","2015","train-conflict","Hab","15146B","yoked",65,33,116.636,3.4,3.4,"15146A","trained",66,37,112.933,1.97,1.97
"WT","2016","train-train","Retention","16-122B","yoked",65,27,123.666,13.77,13.77,"16-122A","trained",18,6,37.101,291.2,291.2
"WT","2016","train-train","T6_C3","16-123B","yoked",65,21,133.835,25.9,25.9,"16-123A","trained",17,12,22.768,50.87,50.87
"FMR1-KO","2016","train-train","Retention","16-121A","yoked",65,22,133.801,12.77,12.77,"16-121B","trained",21,9,42.401,411.97,411.97
"WT","2015","train-conflict","T3","15144B","yoked",66,17,131.365,1.17,1.17,"15144A","trained",1,1,1.3,400.93,400.93
"WT","2015","train-train","Retention","15143D","yoked",67,20,131.1,23.13,23.13,"15143C","trained",1,1,1.633,516.47,516.47
